name,imgSrc,categories,dealType,digitalCoupon,isSelected
Village Candle,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/village_candle.jpg,Non-Foods,BOGO,,false
White Cloud Diapers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/white_cloud_diapers.jpg,Baby,BOGO,,false
General Electric Light Bulbs,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/general_electric_light_bulbs.jpg,Non-Foods,BOGO,,false
Armour Pepperoni,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/armour_pepperoni.jpg,Dairy,BOGO,,false
Grill Mates Wet Marinade,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/grill_mates_wet_marinade.jpg,Grocery,BOGO,,false
Bob's Red Mill Golden Flaxseed Meal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bobs_red_mill_golden_flaxseed_meal.jpg,Grocery,BOGO,,false
Jolly Time Popcorn,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jolly_time_popcorn.jpg,Protein|Grocery,BOGO,,false
Ronzoni Pasta,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ronzoni_pasta.jpg,Grocery,BOGO,,false
Ratio Protein Fiber Cereal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ratio_protein_fiber_cereal.jpg,Protein|Grocery,BOGO,Save $1.00 with digital coupon,false
Old El Paso Taco Shells,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/old_el_paso_taco_shells.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Banza Penne Pasta,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/banza_penne_pasta.jpg,Protein|Grocery,BOGO,,false
Kraft Shredded Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kraft_shredded_cheese.jpg,Dairy,BOGO,,false
