name,imgSrc,categories,dealType,digitalCoupon,isSelected
Gia Russa Select Pasta Sauce,/images/gia_russa_select_pasta_sauce.jpg,Grocery,BOGO,,false
Swanson Broth,/images/swanson_broth.jpg,Grocery,BOGO,,false
New England Coffee Ground Coffee,/images/new_england_coffee_ground_coffee.jpg,Grocery,BOGO,,false
McCormick Grill Mates Seasonings,/images/mccormick_grill_mates_seasonings.jpg,Grocery,BOGO,,false
Bertolli Olive Oil,/images/bertolli_olive_oil.jpg,Grocery,BOGO,,false
Thomas' Products,/images/thomas_products.jpg,Grocery,BOGO,,false
Kraft Mayonnaise,/images/kraft_mayonnaise.jpg,Grocery,BOGO,,false
Purely Elizabeth. Granola,/images/purely_elizabeth_granola.jpg,Grocery,BOGO,,false
Idahoan Mashed Potatoes,/images/idahoan_mashed_potatoes.jpg,Grocery,BOGO,,false
Nature's Own Perfectly Crafted Bread,/images/natures_own_perfectly_crafted_bread.jpg,Grocery,BOGO,,false
Pop-Secret Premium Popcorn,/images/popsecret_premium_popcorn.jpg,Grocery,BOGO,,false
Justin's Organic Peanut Butter Cups,/images/justins_organic_peanut_butter_cups.jpg,Grocery,BOGO,,false
Nabisco Nilla Wafers,/images/nabisco_nilla_wafers.jpg,Grocery,BOGO,,false
Sparkling Ice Flavored Water,/images/sparkling_ice_flavored_water.jpg,Grocery,BOGO,,false
Oatly! Oatmilk,/images/oatly_oatmilk.jpg,Dairy,BOGO,,false
Halo Top Ice Cream,/images/halo_top_ice_cream.jpg,Frozen Food,BOGO,,false
Screamin' Sicilian Pizza Co. Pizza,/images/screamin_sicilian_pizza_co_pizza.jpg,Protein|Frozen Food,BOGO,,false
Bagel Bites Pizza Snacks,/images/bagel_bites_pizza_snacks.jpg,Protein|Frozen Food,BOGO,,false
Califia Farms Cold Brew Coffee,/images/califia_farms_cold_brew_coffee.jpg,Dairy,BOGO,,false
Pillsbury Grands! Biscuits,/images/pillsbury_grands_biscuits.jpg,Dairy,BOGO,,false
Haagen-Dazs Ice Cream,/images/haagendazs_ice_cream.jpg,Frozen Food,BOGO,,false
Crest Toothpaste,/images/crest_toothpaste.jpg,Beauty & Personal Care,BOGO,Save $5.00 with digital coupon,false
Scotch-Brite Scrub Sponges,/images/scotchbrite_scrub_sponges.jpg,Non-Foods,BOGO,,false
3M Filtrete Air Cleaning Filter,/images/3m_filtrete_air_cleaning_filter.jpg,Non-Foods,BOGO,,false
Kendakids Complete Nutrition Shake,/images/kendakids_complete_nutrition_shake.jpg,Baby,BOGO,,false
Happy Baby Organics Organic Baby Food,/images/happy_baby_organics_organic_baby_food.jpg,Protein|Baby,BOGO,,false
White Cloud Diapers,/images/white_cloud_diapers.jpg,Baby,BOGO,,false
Nature's Recipe Dog Food,/images/natures_recipe_dog_food.jpg,Pet,BOGO,,false
Friskies Cat Food,/images/friskies_cat_food.jpg,Pet,BOGO,Save $2.00 with digital coupon,false
Nabisco Ritz Toasted Chips,/images/nabisco_ritz_toasted_chips.jpg,Grocery,BOGO,,false
Nature Valley Bars,/images/nature_valley_bars.jpg,Grocery,BOGO,Save $0.50 with digital coupon,false
Yasso Frozen Greek Yogurt,/images/yasso_frozen_greek_yogurt.jpg,Frozen Food,BOGO,,false
Bic EZ Correct Correction Tape,/images/bic_ez_correct_correction_tape.jpg,Non-Foods,BOGO,,false
Puffs Facial Tissues,/images/puffs_facial_tissues.jpg,Non-Foods,BOGO,,false
Pilot G2 Premium Gel Roller Pens,/images/pilot_g2_premium_gel_roller_pens.jpg,Non-Foods,BOGO,,false
Pancho's Queso Dip,/images/panchos_queso_dip.jpg,Dairy,BOGO,,false
Oui by Yoplait French Style Yogurt,/images/oui_by_yoplait_french_style_yogurt.jpg,Dairy,BOGO,,false
