name,imgSrc,categories,dealType,digitalCoupon,isSelected
Publix Boneless Skinless Chicken Breast,/images/publix_boneless_skinless_chicken_breast.jpg,Meat,BOGO,,false
Cleveland Kitchen Pickle Chips,/images/cleveland_kitchen_pickle_chips.jpg,Produce,BOGO,,false
Publix Spinach Dip,/images/publix_spinach_dip.jpg,Deli,BOGO,,false
Nature's Own Honey Wheat Bread,/images/natures_own_honey_wheat_bread.jpg,Grocery,BOGO,,false
Thomas' English Muffins,/images/thomas_english_muffins.jpg,Grocery,BOGO,,false
Mueller's Pasta,/images/muellers_pasta.jpg,Grocery,BOGO,,false
General Mills Cereal-All,/images/general_mills_cerealall.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Ragu Sauce,/images/ragu_sauce.jpg,Grocery,BOGO,,false
Bertolli Olive Oil,/images/bertolli_olive_oil.jpg,Grocery,BOGO,,false
Kellogg's Cereal-All,/images/kelloggs_cerealall.jpg,Grocery,BOGO,,false
Dunkin' Ground Coffee,/images/dunkin_ground_coffee.jpg,Grocery,BOGO,,false
Sweet Baby Ray's Gourmet Sauces,/images/sweet_baby_rays_gourmet_sauces.jpg,Grocery,BOGO,,false
College Inn Broth,/images/college_inn_broth.jpg,Grocery,BOGO,,false
Honest Kids Organic Juice Drink,/images/honest_kids_organic_juice_drink.jpg,Grocery,BOGO,,false
Pop-Secret Premium Popcorn,/images/popsecret_premium_popcorn.jpg,Grocery,BOGO,,false
Doritos Tortilla Chips,/images/doritos_tortilla_chips.jpg,Grocery,BOGO,,false
Boulder Canyon Potato Chips,/images/boulder_canyon_potato_chips.jpg,Grocery,BOGO,,false
Reese's Peanut Butter Cups,/images/reeses_peanut_butter_cups.jpg,Grocery,BOGO,,false
Nabisco Oreo Cakesters Soft Snack Cakes,/images/nabisco_oreo_cakesters_soft_snack_cakes.jpg,Grocery,BOGO,,false
Ben & Jerry's Ice Cream,/images/ben_jerrys_ice_cream.jpg,Frozen Food,BOGO,,false
Bizzy Cold Brew Coffee,/images/bizzy_cold_brew_coffee.jpg,Dairy,BOGO,,false
Rao's Family Size Pasta,/images/raos_family_size_pasta.jpg,Protein|Frozen Food,BOGO,,false
I Can't Believe It's Not Butter! Spread,/images/i_cant_believe_its_not_butter_spread.jpg,Dairy,BOGO,Save $1.00 with digital coupon,false
Digiorno Pizza,/images/digiorno_pizza.jpg,Protein|Frozen Food,BOGO,,false
Outshine Fruit Bars,/images/outshine_fruit_bars.jpg,Frozen Food,BOGO,,false
Built Puff Protein Bar,/images/built_puff_protein_bar.jpg,Health & Nutrition,BOGO,,false
Nature's Bounty Dietary Supplements,/images/natures_bounty_dietary_supplements.jpg,Health & Nutrition,BOGO,Save $1.00 with digital coupon,false
Glad Storage or Freezer Bags,/images/glad_storage_or_freezer_bags.jpg,Non-Foods,BOGO,,false
Lysol Disinfecting Wipes,/images/lysol_disinfecting_wipes.jpg,Non-Foods,BOGO,,false
Cloralen Multi-Purpose Cleaner,/images/cloralen_multipurpose_cleaner.jpg,Non-Foods,BOGO,,false
Arm & Hammer Laundry Detergent,/images/arm_hammer_laundry_detergent.jpg,Non-Foods,BOGO,Save $2.00 with digital coupon,false
Cottonelle Bathroom Tissue,/images/cottonelle_bathroom_tissue.jpg,Non-Foods,BOGO,,false
Bounty Paper Towels,/images/bounty_paper_towels.jpg,Non-Foods,BOGO,,false
