name,imgSrc,categories,dealType,digitalCoupon,isSelected
Nature's Own Butterbread,/images/natures_own_butterbread.jpg,Grocery,BOGO,,false
Talenti Gelato,/images/talenti_gelato.jpg,Frozen Food,BOGO,,false
Cabot Sweet Cream Butter,/images/cabot_sweet_cream_butter.jpg,Dairy,BOGO,,false
Marie Callender's Pot Pie,/images/marie_callenders_pot_pie.jpg,Protein|Frozen Food,BOGO,,false
Natural Bliss Coffee Creamer,/images/natural_bliss_coffee_creamer.jpg,Dairy,BOGO,,false
Marie Callender's Pie,/images/marie_callenders_pie.jpg,Frozen Food,BOGO,,false
Tillamook Ice Cream,/images/tillamook_ice_cream.jpg,Frozen Food,BOGO,,false
Fage Sour Cream,/images/fage_sour_cream.jpg,Dairy,BOGO,,false
Red Baron Pizza,/images/red_baron_pizza.jpg,Protein|Frozen Food,BOGO,Save $0.50 with digital coupon,false
Zatarain's New Orleans Style Entrees,/images/zatarains_new_orleans_style_entrees.jpg,Protein|Frozen Food,BOGO,,false
All Laundry Detergent,/images/all_laundry_detergent.jpg,Non-Foods,BOGO,,false
Pure Life Purified Water,/images/pure_life_purified_water.jpg,Grocery,BOGO,,false
Cra-Z-Art Crayons,/images/crazart_crayons.jpg,Non-Foods,BOGO,,false
Betty Crocker Fruit Snacks,/images/betty_crocker_fruit_snacks.jpg,Grocery,BOGO,Save $0.50 with digital coupon,false
Lysol Disinfectant Spray,/images/lysol_disinfectant_spray.jpg,Non-Foods,BOGO,,false
Pilot G2 Premium Gel Roller Pens,/images/pilot_g2_premium_gel_roller_pens.jpg,Non-Foods,BOGO,,false
Pepperidge Farm Goldfish Baked Snack Crackers,/images/pepperidge_farm_goldfish_baked_snack_crackers.jpg,Grocery,BOGO,,false
Top Flight 1 Subject Notebook,/images/top_flight_1_subject_notebook.jpg,Non-Foods,BOGO,,false
Pilot Acroball Ball Point Pen,/images/pilot_acroball_ball_point_pen.jpg,Non-Foods,BOGO,,false
Nabisco Cookies or Crackers,/images/nabisco_cookies_or_crackers.jpg,Grocery,BOGO,,false
Sharpie Permanent Marker,/images/sharpie_permanent_marker.jpg,Non-Foods,BOGO,,false
Chomps Chomplings Meat Sticks,/images/chomps_chomplings_meat_sticks.jpg,Dairy,BOGO,,false
Velveeta Shells & Cheese,/images/velveeta_shells_cheese.jpg,Grocery,BOGO,,false
Sharpie Highlighters,/images/sharpie_highlighters.jpg,Non-Foods,BOGO,,false
Tyson Chicken Nuggets,/images/tyson_chicken_nuggets.jpg,Protein|Frozen Food,BOGO,,false
Nature Valley Crunchy Granola Bars,/images/nature_valley_crunchy_granola_bars.jpg,Grocery,BOGO,Save $0.50 with digital coupon,false
