name,imgSrc,categories,dealType,digitalCoupon,isSelected
Nature Valley Crunchy Granola Bars,/images/nature_valley_crunchy_granola_bars.jpg,Grocery,BOGO,Save $0.50 with digital coupon,false
Zoup! Soup,/images/zoup_soup.jpg,Grocery,BOGO,,false
Artesano Bread,/images/artesano_bread.jpg,Grocery,BOGO,,false
Bertolli Sauce,/images/bertolli_sauce.jpg,Grocery,BOGO,,false
Samyang Buldak Ramen,/images/samyang_buldak_ramen.jpg,Grocery,BOGO,,false
Hellmann's Mayonnaise,/images/hellmanns_mayonnaise.jpg,Grocery,BOGO,,false
Thomas' English Muffins,/images/thomas_english_muffins.jpg,Grocery,BOGO,,false
Pastazara Organic Pasta,/images/pastazara_organic_pasta.jpg,Grocery,BOGO,,false
General Mills Cheerios Cereal,/images/general_mills_cheerios_cereal.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
"Chex Mix, Gardetto's, or Bugles Snacks",/images/chex_mix_gardettos_or_bugles_snacks.jpg,Grocery,BOGO,,false
Gogo Squeez On The Go Products,/images/gogo_squeez_on_the_go_products.jpg,Grocery,BOGO,,false
Back to Nature Cookies,/images/back_to_nature_cookies.jpg,Grocery,BOGO,,false
Planters Mixed Nuts,/images/planters_mixed_nuts.jpg,Grocery,BOGO,,false
Drop Artesian Water,/images/drop_artesian_water.jpg,Grocery,BOGO,,false
Tony's Chocolonely Chocolate Bar,/images/tonys_chocolonely_chocolate_bar.jpg,Grocery,BOGO,,false
Promised Land Milk,/images/promised_land_milk.jpg,Protein|Dairy,BOGO,,false
Klondike Bars,/images/klondike_bars.jpg,Frozen Food,BOGO,,false
Gorton's Fish Fillets or Sticks,/images/gortons_fish_fillets_or_sticks.jpg,Frozen Food,BOGO,,false
La Colombe Cold Brew Coffee,/images/la_colombe_cold_brew_coffee.jpg,Dairy,BOGO,,false
Icelandic Provisions Skyr Yogurt,/images/icelandic_provisions_skyr_yogurt.jpg,Protein|Dairy,BOGO,,false
Breyers Ice Cream,/images/breyers_ice_cream.jpg,Frozen Food,BOGO,,false
Truly Butter,/images/truly_butter.jpg,Dairy,BOGO,,false
Newman's Own Pizza,/images/newmans_own_pizza.jpg,Protein|Frozen Food,BOGO,,false
Not Your Mother's Hair Care Products,/images/not_your_mothers_hair_care_products.jpg,Beauty & Personal Care,BOGO,,false
Nature's Truth Supplements,/images/natures_truth_supplements.jpg,Health & Nutrition,BOGO,,false
Bar Keepers Friend Cleanser,/images/bar_keepers_friend_cleanser.jpg,Non-Foods,BOGO,,false
Arm & Hammer Laundry Detergent,/images/arm_hammer_laundry_detergent.jpg,Non-Foods,BOGO,,false
Cadet Dog Chews,/images/cadet_dog_chews.jpg,Pet,BOGO,,false
Happy Tot or Happy Baby Baby Food,/images/happy_tot_or_happy_baby_baby_food.jpg,Baby,BOGO,,false
Purina Tidy Cats Cat Litter,/images/purina_tidy_cats_cat_litter.jpg,Pet,BOGO,,false
Rachael Ray Nutrish Dog Food,/images/rachael_ray_nutrish_dog_food.jpg,Pet,BOGO,,false
Handi-foil Pans With Lids,/images/handifoil_pans_with_lids.jpg,Housewares,BOGO,,false
Honest Clean Conscious Diapers,/images/honest_clean_conscious_diapers.jpg,Baby,BOGO,,false
Philips Light Bulbs,/images/philips_light_bulbs.jpg,Non-Foods,BOGO,,false
Publix Shrimp,/images/publix_shrimp.jpg,Seafood,BOGO,,false
Publix Buffalo-Style Chicken Breast Dip,/images/publix_buffalostyle_chicken_breast_dip.jpg,Deli,BOGO,,false
Expo Dry Eraser Markers,/images/expo_dry_eraser_markers.jpg,Non-Foods,BOGO,,false
Sharpie Highlighters,/images/sharpie_highlighters.jpg,Non-Foods,BOGO,,false
Pure Life Purified Water,/images/pure_life_purified_water.jpg,Grocery,BOGO,,false
Kraft Macaroni & Cheese,/images/kraft_macaroni_cheese.jpg,Protein|Grocery,BOGO,,false
Nabisco Cookies or Crackers,/images/nabisco_cookies_or_crackers.jpg,Grocery,BOGO,,false
Top Flight Filler Paper,/images/top_flight_filler_paper.jpg,Non-Foods,BOGO,,false
"Westcott Kids 5"" Scissor",/images/westcott_kids_5_scissor.jpg,Non-Foods,BOGO,,false
Archer Meat Sticks,/images/archer_meat_sticks.jpg,Dairy,BOGO,,false
Publix Chocolate Chip Cannoli Dip,/images/publix_chocolate_chip_cannoli_dip.jpg,Deli,BOGO,,false
Pure Protein Ammmaze Protein Bar,/images/pure_protein_ammmaze_protein_bar.jpg,Health & Nutrition,BOGO,,false
Stacy's Pita Chips,/images/stacys_pita_chips.jpg,Deli,BOGO,,false
Brawny Paper Towels,/images/brawny_paper_towels.jpg,Non-Foods,BOGO,,false
Greenfield Lunch Kit,/images/greenfield_lunch_kit.jpg,Dairy,BOGO,,false
Simple Mills Crackers,/images/simple_mills_crackers.jpg,Grocery,BOGO,,false
Nature's Own Butterbread,/images/natures_own_butterbread.jpg,Grocery,BOGO,,false
Lunchables,/images/lunchables.jpg,Meat,BOGO,,false
