name,imgSrc,categories,dealType,digitalCoupon,isSelected
Nature Valley Granola Bars or Wafer Bars or Biscuits,/images/nature_valley_granola_bars_or_wafer_bars_or_biscuits.jpg,Grocery,BOGO,,false
Hellmann's Mayonnaise,/images/hellmanns_mayonnaise.jpg,Grocery,BOGO,,false
Samyang Buldak Spicy Ramen,/images/samyang_buldak_spicy_ramen.jpg,Grocery,BOGO,,false
Bertolli Sauce,/images/bertolli_sauce.jpg,Grocery,BOGO,,false
Thomas' English Muffins,/images/thomas_english_muffins.jpg,Grocery,BOGO,,false
Artesano Bread,/images/artesano_bread.jpg,Grocery,BOGO,,false
Zoup! Soup,/images/zoup_soup.jpg,Grocery,BOGO,,false
General Mills Cereal-All,/images/general_mills_cerealall.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Pastazara Organic Pasta,/images/pastazara_organic_pasta.jpg,Grocery,BOGO,,false
Back to Nature Cookies,/images/back_to_nature_cookies.jpg,Grocery,BOGO,,false
Tony's Chocolonely Chocolate Bar,/images/tonys_chocolonely_chocolate_bar.jpg,Grocery,BOGO,,false
Gogo Squeez On The Go Products,/images/gogo_squeez_on_the_go_products.jpg,Grocery,BOGO,,false
Planters Mixed Nuts,/images/planters_mixed_nuts.jpg,Grocery,BOGO,,false
Drop Artesian Water,/images/drop_artesian_water.jpg,Grocery,BOGO,,false
"Chex Mix, Gardetto's, or Bugles Snacks",/images/chex_mix_gardettos_or_bugles_snacks.jpg,Grocery,BOGO,,false
La Colombe Cold Brew Coffee,/images/la_colombe_cold_brew_coffee.jpg,Dairy,BOGO,,false
Gorton's Fish Fillets or Sticks,/images/gortons_fish_fillets_or_sticks.jpg,Frozen Food,BOGO,,false
Truly Butter,/images/truly_butter.jpg,Dairy,BOGO,,false
Klondike Bars or Ice Cream Sandwiches,/images/klondike_bars_or_ice_cream_sandwiches.jpg,Frozen Food,BOGO,,false
Breyers Ice Cream,/images/breyers_ice_cream.jpg,Frozen Food,BOGO,,false
Icelandic Provisions Skyr Yogurt,/images/icelandic_provisions_skyr_yogurt.jpg,Protein|Dairy,BOGO,,false
Newman's Own Pizza,/images/newmans_own_pizza.jpg,Protein|Frozen Food,BOGO,,false
Promised Land Milk,/images/promised_land_milk.jpg,Protein|Dairy,BOGO,,false
