name,imgSrc,categories,dealType,digitalCoupon,isSelected
Publix Boneless Skinless Chicken Breasts,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/publix_boneless_skinless_chicken_breasts.jpg,Meat,BOGO,,false
Ken's Steak House Dressing & Marinade,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kens_steak_house_dressing_marinade.jpg,Grocery,BOGO,,false
General Mills Cereal-All,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/general_mills_cerealall.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Progresso Soup,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/progresso_soup.jpg,Grocery,BOGO,,false
Maxwell House Ground Coffee,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/maxwell_house_ground_coffee.jpg,Grocery,BOGO,,false
Swanson Broth,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/swanson_broth.jpg,Grocery,BOGO,,false
Classico Pasta Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/classico_pasta_sauce.jpg,Grocery,BOGO,,false
Bertolli Olive Oil,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bertolli_olive_oil.jpg,Grocery,BOGO,,false
Simply Organic Spices or Extracts,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/simply_organic_spices_or_extracts.jpg,Grocery,BOGO,,false
Wonder Bread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/wonder_bread.jpg,Grocery,BOGO,,false
Lay's Potato Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/lays_potato_chips.jpg,Grocery,BOGO,,false
Orville Redenbacher's Gourmet Popping Corn,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/orville_redenbachers_gourmet_popping_corn.jpg,Grocery,BOGO,,false
Nabisco Cookies Variety Pack Minis,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/nabisco_cookies_variety_pack_minis.jpg,Grocery,BOGO,,false
Werther's Original Caramel Candies,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/werthers_original_caramel_candies.jpg,Grocery,BOGO,,false
Arnold or Brownberry Bread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/arnold_or_brownberry_bread.jpg,Grocery,BOGO,,false
Cape Cod Kettle Cooked Potato Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/cape_cod_kettle_cooked_potato_chips.jpg,Grocery,BOGO,,false
Mayfield Creamery Ice Cream,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mayfield_creamery_ice_cream.jpg,Frozen Food,BOGO,,false
Reddi Wip Whipped Topping,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/reddi_wip_whipped_topping.jpg,Dairy,BOGO,,false
Haagen-Dazs Ice Cream,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/haagendazs_ice_cream.jpg,Frozen Food,BOGO,,false
Pepperidge Farm Layer Cake,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/pepperidge_farm_layer_cake.jpg,Frozen Food,BOGO,,false
Malk Organic Almondmilk,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/malk_organic_almondmilk.jpg,Dairy,BOGO,,false
Quest Protein Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/quest_protein_chips.jpg,Protein|Health & Nutrition,BOGO,,false
Nature's Truth Supplements,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natures_truth_supplements.jpg,Health & Nutrition,BOGO,,false
