name,imgSrc,categories,dealType,digitalCoupon,isSelected
Publix Assorted Pork Loin Chops,/images/publix_assorted_pork_loin_chops.jpg,Meat,BOGO,,false
General Mills Lucky Charms Cereal,/images/general_mills_lucky_charms_cereal.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Cafe Bustelo K-Cup Coffee,/images/cafe_bustelo_kcup_coffee.jpg,Grocery,BOGO,,false
Magic Spoon Cereal,/images/magic_spoon_cereal.jpg,Protein|Grocery,BOGO,,false
Thomas' Products,/images/thomas_products.jpg,Grocery,BOGO,,false
Ghirardelli Premium Brownie Mix,/images/ghirardelli_premium_brownie_mix.jpg,Grocery,BOGO,,false
A.1. Sauce,/images/a1_sauce.jpg,Grocery,BOGO,,false
Wonder Bread,/images/wonder_bread.jpg,Grocery,BOGO,,false
Hellmann's Mayonnaise,/images/hellmanns_mayonnaise.jpg,Grocery,BOGO,,false
Premier Protein Protein Shake,/images/premier_protein_protein_shake.jpg,Protein|Grocery,BOGO,,false
Gatorade Thirst Quencher,/images/gatorade_thirst_quencher.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Nabisco Family Size Oreo or Chips Ahoy! Cookies,/images/nabisco_family_size_oreo_or_chips_ahoy_cookies.jpg,Grocery,BOGO,,false
Snyder's of Hanover Pretzels,/images/snyders_of_hanover_pretzels.jpg,Grocery,BOGO,,false
Orville Redenbacher's Gourmet Popcorn,/images/orville_redenbachers_gourmet_popcorn.jpg,Protein|Grocery,BOGO,,false
Tostitos Tortilla Chips,/images/tostitos_tortilla_chips.jpg,Grocery,BOGO,,false
Hershey's Chocolate Candy Bars,/images/hersheys_chocolate_candy_bars.jpg,Grocery,BOGO,,false
Deer Park Natural Spring Water,/images/deer_park_natural_spring_water.jpg,Grocery,BOGO,,false
Noosa Finest Yoghurt,/images/noosa_finest_yoghurt.jpg,Protein|Dairy,BOGO,Save $0.50 with digital coupon,false
Planet Oat Oatmilk,/images/planet_oat_oatmilk.jpg,Dairy,BOGO,,false
Screamin' Sicilian Pizza Co. Pizza,/images/screamin_sicilian_pizza_co_pizza.jpg,Frozen Food,BOGO,,false
Birds Eye Voila! Family Size Skillet Meals,/images/birds_eye_voila_family_size_skillet_meals.jpg,Frozen Food,BOGO,,false
Starbucks Coffee Creamer,/images/starbucks_coffee_creamer.jpg,Dairy,BOGO,,false
Fage Greek Strained Yogurt,/images/fage_greek_strained_yogurt.jpg,Protein|Dairy,BOGO,,false
Talenti Gelato,/images/talenti_gelato.jpg,Frozen Food,BOGO,,false
Mayfield Creamery Ice Cream,/images/mayfield_creamery_ice_cream.jpg,Frozen Food,BOGO,,false
Mrs. Paul's Fish Entrees,/images/mrs_pauls_fish_entrees.jpg,Frozen Food,BOGO,,false
Harry's Razor Handle,/images/harrys_razor_handle.jpg,Beauty & Personal Care,BOGO,,false
Nature's Truth Supplements,/images/natures_truth_supplements.jpg,Health & Nutrition,BOGO,,false
Dr. Squatch Deodorant Products,/images/dr_squatch_deodorant_products.jpg,Beauty & Personal Care,BOGO,,false
Arm & Hammer Toothpaste,/images/arm_hammer_toothpaste.jpg,Beauty & Personal Care,BOGO,,false
Purex Laundry Detergent,/images/purex_laundry_detergent.jpg,Non-Foods,BOGO,,false
Solo Plastic Cups,/images/solo_plastic_cups.jpg,Non-Foods,BOGO,,false
Green Gobbler Drain Clog Dissolver,/images/green_gobbler_drain_clog_dissolver.jpg,Non-Foods,BOGO,,false
Resolve Carpet Cleaner,/images/resolve_carpet_cleaner.jpg,Non-Foods,BOGO,,false
Royal Oak Hardwood Lump Charcoal,/images/royal_oak_hardwood_lump_charcoal.jpg,Non-Foods,BOGO,,false
Arm & Hammer Dish Soap,/images/arm_hammer_dish_soap.jpg,Non-Foods,BOGO,,false
Village Candle,/images/village_candle.jpg,Non-Foods,BOGO,,false
General Electric Light Bulbs,/images/general_electric_light_bulbs.jpg,Non-Foods,BOGO,,false
Good 'n' Fun Snack for Dogs,/images/good_n_fun_snack_for_dogs.jpg,Pet,BOGO,,false
Bic Multi Purpose or Flex Lighter,/images/bic_multi_purpose_or_flex_lighter.jpg,Non-Foods,BOGO,,false
Meow Mix Cat Food,/images/meow_mix_cat_food.jpg,Pet,BOGO,,false
White Cloud Diapers,/images/white_cloud_diapers.jpg,Baby,BOGO,,false
Ratio Protein Fiber Cereal,/images/ratio_protein_fiber_cereal.jpg,Protein|Grocery,BOGO,Save $1.00 with digital coupon,false
Armour Pepperoni,/images/armour_pepperoni.jpg,Dairy,BOGO,,false
Margaret Holmes Seasoned Green Lima Beans,/images/margaret_holmes_seasoned_green_lima_beans.jpg,Grocery,BOGO,,false
Ronzoni Pasta,/images/ronzoni_pasta.jpg,Grocery,BOGO,,false
Banza Penne Pasta,/images/banza_penne_pasta.jpg,Protein|Grocery,BOGO,,false
Old El Paso Taco Shells,/images/old_el_paso_taco_shells.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Vigo Greek Peppers,/images/vigo_greek_peppers.jpg,Grocery,BOGO,,false
