name,imgSrc,categories,dealType,digitalCoupon,isSelected
Mission Flour Tortillas,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mission_flour_tortillas.jpg,Grocery,BOGO,,false
Zephyrhills Spring Water or Pure Life Purified Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/zephyrhills_spring_water_or_pure_life_purified_water.jpg,Grocery,BOGO,,false
Mentos Mints,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mentos_mints.jpg,Grocery,BOGO,,false
Kellogg's Cereal-All,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kelloggs_cerealall.jpg,Grocery,BOGO,,false
Entenmann's Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/entenmanns_products.jpg,Grocery,BOGO,,false
Lemon Perfect Hydrating Lemon Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/lemon_perfect_hydrating_lemon_water.jpg,Grocery,BOGO,,false
Oscar Mayer Franks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/oscar_mayer_franks.jpg,Meat,BOGO,,false
Bolthouse Farms 100% Juice Smoothie,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bolthouse_farms_100_juice_smoothie.jpg,Produce,BOGO,,false
Martin's Sweet Dinner Potato Rolls,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/martins_sweet_dinner_potato_rolls.jpg,Grocery,BOGO,,false
Hillshire Farm Lunch Meats,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hillshire_farm_lunch_meats.jpg,Meat,BOGO,,false
Zico Pure Organic Coconut Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/zico_pure_organic_coconut_water.jpg,Produce,BOGO,,false
Famous Amos Cookies,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/famous_amos_cookies.jpg,Grocery,BOGO,,false
Suja Organic Juice Drink,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/suja_organic_juice_drink.jpg,Produce,BOGO,,false
Bare Baked Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bare_baked_chips.jpg,Produce,BOGO,,false
Jelly Belly Jelly Beans,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jelly_belly_jelly_beans.jpg,Grocery,BOGO,,false
Philly Gourmet Sandwich Steaks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/philly_gourmet_sandwich_steaks.jpg,Meat,BOGO,,false
8-Pack 7UP Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/8pack_7up_products.jpg,Grocery,BOGO,,false
Lindy's Homemade Italian Ice,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/lindys_homemade_italian_ice.jpg,Frozen Food,BOGO,,false
Banquet Brown'N Serve Sausage Links,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/banquet_brownn_serve_sausage_links.jpg,Meat,BOGO,,false
6-Pack 7UP Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/6pack_7up_products.jpg,Grocery,BOGO,,false
12-Pack Zevia Zero Sugar Soda,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/12pack_zevia_zero_sugar_soda.jpg,Grocery,BOGO,,false
Uncle John's Pride Smoked Sausage,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/uncle_johns_pride_smoked_sausage.jpg,Meat,BOGO,,false
Golden Farms Mango Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/golden_farms_mango_sauce.jpg,Grocery,BOGO,,false
Nature's Premium Fruit Bites,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natures_premium_fruit_bites.jpg,Frozen Food,BOGO,,false
Greenfield Protein Kit,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/greenfield_protein_kit.jpg,Meat,BOGO,,false
Bertolli Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bertolli_sauce.jpg,Grocery,BOGO,,false
Jade Leaf Matcha Latte Tea,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jade_leaf_matcha_latte_tea.jpg,Grocery,BOGO,,false
Seattle's Best Coffee Ground Coffee,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/seattles_best_coffee_ground_coffee.jpg,Grocery,BOGO,,false
Maeve Truffle Bar,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/maeve_truffle_bar.jpg,Grocery,BOGO,,false
Frutero Ice Cream,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/frutero_ice_cream.jpg,Frozen Food,BOGO,,false
Kellogg's Honey Smacks Cereal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kelloggs_honey_smacks_cereal.jpg,Grocery,BOGO,,false
Zatarain's Seasoning,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/zatarains_seasoning.jpg,Grocery,BOGO,,false
Quaker Instant Oatmeal or Instant Grits,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/quaker_instant_oatmeal_or_instant_grits.jpg,Grocery,BOGO,,false
Kellogg's Raisin Bran Protein Cereal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kelloggs_raisin_bran_protein_cereal.jpg,Grocery,BOGO,,false
Kellogg's Cocoa Loops Cereal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kelloggs_cocoa_loops_cereal.jpg,Grocery,BOGO,,false
Once Upon A Farm Organic Soft Baked Bar,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/once_upon_a_farm_organic_soft_baked_bar.jpg,Grocery,BOGO,,false
La Chona Panela Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/la_chona_panela_cheese.jpg,Dairy,BOGO,,false
La Chona Quesadilla Cheese Shreds,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/la_chona_quesadilla_cheese_shreds.jpg,Dairy,BOGO,,false
Mambo Sofrito Blend,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mambo_sofrito_blend.jpg,Frozen Food,BOGO,,false
Antonella's Cuban Crackers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/antonellas_cuban_crackers.jpg,Grocery,BOGO,,false
Rico's Fried Pork Rinds,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ricos_fried_pork_rinds.jpg,Grocery,BOGO,,false
Yo Gusto Yogurt,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/yo_gusto_yogurt.jpg,Dairy,BOGO,,false
Jade Leaf Matcha Concentrate,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jade_leaf_matcha_concentrate.svg,Grocery,BOGO,,false
Coca-Cola de Mexico Singles,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/cocacola_de_mexico_singles.jpg,Grocery,B2G1,,false
Jarritos Soda,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jarritos_soda.jpg,Grocery,B2G1,,false
Naked Juice Smoothie,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/naked_juice_smoothie.jpg,Produce,B2G1,,false
Vita Coco Coconut Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/vita_coco_coconut_water.jpg,Grocery,B2G1,,false
10-Pack Pepsi Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/10pack_pepsi_products.jpg,Grocery,B2G1,Save $10.00 with digital coupon,false
