name,imgSrc,categories,dealType,digitalCoupon,isSelected
Donut Shop K-Cup Coffee,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/donut_shop_kcup_coffee.jpg,Grocery,BOGO,,false
Bertolli Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bertolli_sauce.jpg,Grocery,BOGO,,false
General Mills Cereal-All,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/general_mills_cerealall.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
McCormick Gourmet Spices or Extracts,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mccormick_gourmet_spices_or_extracts.jpg,Grocery,BOGO,,false
Thomas' Bagels,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/thomas_bagels.jpg,Grocery,BOGO,,false
Nature's Own Butterbread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natures_own_butterbread.jpg,Grocery,BOGO,,false
New England Coffee: Ground or Pods,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/new_england_coffee_ground_or_pods.jpg,Grocery,BOGO,,false
Bertolli Olive Oil,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bertolli_olive_oil.jpg,Grocery,BOGO,,false
Waterloo Sparkling Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/waterloo_sparkling_water.jpg,Grocery,BOGO,,false
Nabisco Oreo Cookies,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/nabisco_oreo_cookies.jpg,Grocery,BOGO,,false
6-Pack Pepsi Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/6pack_pepsi_products.jpg,Grocery,BOGO,,false
Reese's Peanut Butter Cups Snack Size Treats,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/reeses_peanut_butter_cups_snack_size_treats.jpg,Grocery,BOGO,,false
Hostess Pastries,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hostess_pastries.jpg,Grocery,BOGO,,false
G.H. Cretors Popcorn,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/gh_cretors_popcorn.jpg,Grocery,BOGO,,false
Starbucks Coffee Creamer,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/starbucks_coffee_creamer.jpg,Dairy,BOGO,,false
Tru Fru Chocolate Covered Frozen Fruit,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/tru_fru_chocolate_covered_frozen_fruit.jpg,Frozen Food,BOGO,,false
Bibigo Mini Wontons,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bibigo_mini_wontons.jpg,Protein|Frozen Food,BOGO,,false
Home Run Inn Pizza,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/home_run_inn_pizza.jpg,Frozen Food,BOGO,,false
Talenti Gelato,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/talenti_gelato.jpg,Frozen Food,BOGO,,false
I Can't Believe It's Not Butter! Spread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/i_cant_believe_its_not_butter_spread.jpg,Dairy,BOGO,Save $1.00 with digital coupon,false
Shamrock Farms Protein Shake,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/shamrock_farms_protein_shake.jpg,Protein|Dairy,BOGO,,false
Birds Eye Voila! Skillet Meals,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/birds_eye_voila_skillet_meals.jpg,Frozen Food,BOGO,,false
Ghirardelli Premium Cookie Dough,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ghirardelli_premium_cookie_dough.jpg,Dairy,BOGO,,false
Nature's Bounty Dietary Supplements,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natures_bounty_dietary_supplements.jpg,Health & Nutrition,BOGO,,false
Tide or Gain Laundry Detergent,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/tide_or_gain_laundry_detergent.jpg,Non-Foods,BOGO,,false
Palmolive Ultra Dish Liquid,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/palmolive_ultra_dish_liquid.jpg,Non-Foods,BOGO,,false
Purex Laundry Detergent,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/purex_laundry_detergent.jpg,Non-Foods,BOGO,,false
Paper Chef Parchment Paper,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/paper_chef_parchment_paper.jpg,Non-Foods,BOGO,,false
