name,imgSrc,categories,dealType,digitalCoupon,isSelected
Publix Extra Lean Pork Loin Tenderloins,/images/publix_extra_lean_pork_loin_tenderloins.jpg,Meat,BOGO,,false
Publix Hummus,/images/publix_hummus.jpg,Deli,BOGO,,false
New England Coffee: Ground or Pods,/images/new_england_coffee_ground_or_pods.jpg,Grocery,BOGO,,false
Gevalia Ground Coffee,/images/gevalia_ground_coffee.jpg,Grocery,BOGO,,false
Zatarain's Rice,/images/zatarains_rice.jpg,Grocery,BOGO,,false
General Mills Cereal-All,/images/general_mills_cerealall.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Hellmann's Mayonnaise,/images/hellmanns_mayonnaise.jpg,Grocery,BOGO,,false
Bertolli Sauce,/images/bertolli_sauce.jpg,Grocery,BOGO,,false
Sara Lee Butter Bread,/images/sara_lee_butter_bread.jpg,Grocery,BOGO,,false
Barilla Pasta,/images/barilla_pasta.jpg,Grocery,BOGO,,false
Body Armor Sports Drink,/images/body_armor_sports_drink.jpg,Grocery,BOGO,,false
Eternal Spring Water,/images/eternal_spring_water.jpg,Grocery,BOGO,,false
Lay's Potato Chips,/images/lays_potato_chips.jpg,Grocery,BOGO,,false
Cape Cod Kettle Cooked Potato Chips,/images/cape_cod_kettle_cooked_potato_chips.jpg,Grocery,BOGO,,false
Sanpellegrino Ciao! Sparkling Water,/images/sanpellegrino_ciao_sparkling_water.jpg,Grocery,BOGO,,false
Ritz Cracker Sandwiches,/images/ritz_cracker_sandwiches.jpg,Grocery,BOGO,,false
Tootsie Roll Pops,/images/tootsie_roll_pops.jpg,Grocery,BOGO,,false
PB2 Powdered Peanut Butter,/images/pb2_powdered_peanut_butter.jpg,Grocery,BOGO,,false
"Pillsbury Grands! Biscuits or Rolls, Crescents, or Cinni Stix",/images/pillsbury_grands_biscuits_or_rolls_crescents_or_cinni_stix.jpg,Dairy,BOGO,Save $1.00 with digital coupon,false
Kodiak Power Waffles,/images/kodiak_power_waffles.jpg,Frozen Food,BOGO,,false
Haagen-Dazs Ice Cream Bars,https://akimages.shoplocal.com/dyn_li/235.0.90.0/Retailers/Publix/260820_Page_14_Feature_03_710856_264021.jpg,Frozen Food,BOGO,,false
Cole's Texas Toast,/images/coles_texas_toast.jpg,Frozen Food,BOGO,,false
Bizzy Cold Brew Coffee,/images/bizzy_cold_brew_coffee.jpg,Dairy,BOGO,,false
Rao's Pizza,/images/raos_pizza.jpg,Protein|Frozen Food,BOGO,,false
Fage Greek Strained Yogurt,/images/fage_greek_strained_yogurt.jpg,Protein|Dairy,BOGO,,false
Edy's Ice Cream,/images/edys_ice_cream.jpg,Frozen Food,BOGO,,false
Dial Body Wash,/images/dial_body_wash.jpg,Beauty & Personal Care,BOGO,,false
Think! High Protein Bar,/images/think_high_protein_bar.jpg,Health & Nutrition,BOGO,,false
Duke Cannon Products,/images/duke_cannon_products.jpg,Beauty & Personal Care,BOGO,,false
One A Day Women's Multivitamin Tablets,/images/one_a_day_womens_multivitamin_tablets.jpg,Health & Nutrition,BOGO,,false
OGX Shampoo or Conditioner,/images/ogx_shampoo_or_conditioner.jpg,Beauty & Personal Care,BOGO,Save $4.00 with digital coupon,false
Chinet Classic White Dinner Plates,/images/chinet_classic_white_dinner_plates.jpg,Non-Foods,BOGO,,false
CLR Products,/images/clr_products.jpg,Non-Foods,BOGO,,false
Brawny Paper Towels,/images/brawny_paper_towels.jpg,Non-Foods,BOGO,,false
All Laundry Detergent,/images/all_laundry_detergent.jpg,Non-Foods,BOGO,,false
General Electric Light Bulbs,/images/general_electric_light_bulbs.jpg,Non-Foods,BOGO,,false
Tuscany Candle,/images/tuscany_candle.jpg,Non-Foods,BOGO,,false
Meow Mix Cat Food,/images/meow_mix_cat_food.jpg,,BOGO,,false
Millie Moon Luxury Diapers,/images/millie_moon_luxury_diapers.jpg,Baby,BOGO,,false
Handi-foil Pans,/images/handifoil_pans.jpg,Housewares,BOGO,,false
Pedigree Dentastix Dog Treats,/images/pedigree_dentastix_dog_treats.jpg,,BOGO,,false
Gerber Graduates Snacks,/images/gerber_graduates_snacks.jpg,Baby,BOGO,,false
Publix Salsa,/images/publix_salsa.jpg,Deli,BOGO,,false
Brutus Bone Broth Made for Dogs,/images/brutus_bone_broth_made_for_dogs.jpg,,BOGO,,false
Daisy Sour Cream,/images/daisy_sour_cream.jpg,Dairy,BOGO,,false
Old El Paso Taco Shells,/images/old_el_paso_taco_shells.jpg,Grocery,BOGO,,false
Purina Tidy Cats Litter,/images/purina_tidy_cats_litter.jpg,,BOGO,,false
Partake Cookies,/images/partake_cookies.jpg,Grocery,BOGO,,false
Yo Mama's Sauce,/images/yo_mamas_sauce.jpg,Grocery,BOGO,,false
Annie's Organic Bunny Crackers or Grahams,/images/annies_organic_bunny_crackers_or_grahams.jpg,Grocery,BOGO,,false
Velveeta Shells & Cheese,/images/velveeta_shells_cheese.jpg,Grocery,BOGO,,false
Publix White Shrimp,/images/publix_white_shrimp.jpg,Seafood,BOGO,,false
Iams Cat Food,/images/iams_cat_food.jpg,,BOGO,,false
Clif Zbar Organic Bars,/images/clif_zbar_organic_bars.jpg,Grocery,BOGO,,false
Good 2 Grow Snackers Baked Crackers,/images/good_2_grow_snackers_baked_crackers.jpg,Deli,BOGO,,false
Nature Valley Granola Bars or Wafer Bars or Biscuits,/images/nature_valley_granola_bars_or_wafer_bars_or_biscuits.jpg,Grocery,BOGO,,false
Kraft Dressing,/images/kraft_dressing.jpg,Grocery,BOGO,,false
Swanson White Premium Chunk Chicken Breast,/images/swanson_white_premium_chunk_chicken_breast.jpg,Protein|Grocery,BOGO,,false
Cacique Ranchero Queso Fresco Chunk Cheese,/images/cacique_ranchero_queso_fresco_chunk_cheese.jpg,Dairy,BOGO,,false
Campbell's Soup,/images/campbells_soup.jpg,Grocery,BOGO,,false
Springer Mountain Farms Ground Chicken Breast,/images/springer_mountain_farms_ground_chicken_breast.jpg,Meat,BOGO,,false
Carbe Diem! Pasta,/images/carbe_diem_pasta.jpg,Protein|Grocery,BOGO,,false
Ball Park Hot Dog Buns,/images/ball_park_hot_dog_buns.jpg,Grocery,BOGO,,false
