name,imgSrc,categories,dealType,digitalCoupon,isSelected
Perdue Boneless Skinless Chicken Breasts,/images/perdue_boneless_skinless_chicken_breasts.jpg,Meat,BOGO,,false
General Mills Cheerios Cereal,/images/general_mills_cheerios_cereal.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Prego Italian Sauce,/images/prego_italian_sauce.jpg,Grocery,BOGO,,false
Maxwell House Ground Coffee,/images/maxwell_house_ground_coffee.jpg,Grocery,BOGO,,false
Pompeian Imported Olive Oil,/images/pompeian_imported_olive_oil.jpg,Grocery,BOGO,,false
Mott's Juice,/images/motts_juice.jpg,Grocery,BOGO,,false
Green Giant Vegetables,/images/green_giant_vegetables.jpg,Grocery,BOGO,,false
Nature's Own Butterbread,/images/natures_own_butterbread.jpg,Grocery,BOGO,,false
A.1. Sauce,/images/a1_sauce.jpg,Grocery,BOGO,,false
Hunt's Tomatoes,/images/hunts_tomatoes.jpg,Grocery,BOGO,,false
Caprisun Juice Drink Blend,/images/caprisun_juice_drink_blend.jpg,Grocery,BOGO,,false
Zephyrhills Florida Spring Water,/images/zephyrhills_florida_spring_water.jpg,Grocery,BOGO,,false
Snyder's of Hanover Pretzels,/images/snyders_of_hanover_pretzels.jpg,Grocery,BOGO,,false
Fruit Gushers Fruit Flavored Snacks,/images/fruit_gushers_fruit_flavored_snacks.jpg,Grocery,BOGO,Save $0.50 with digital coupon,false
Werther's Original Caramel Hard Candies,/images/werthers_original_caramel_hard_candies.jpg,Grocery,BOGO,,false
Tostitos Tortilla Chips,/images/tostitos_tortilla_chips.jpg,Grocery,BOGO,,false
Waterloo Sparkling Water,/images/waterloo_sparkling_water.jpg,Grocery,BOGO,,false
Superpretzel Soft Pretzels,/images/superpretzel_soft_pretzels.jpg,Frozen Food,BOGO,,false
Yoplait Go-Gurt,/images/yoplait_gogurt.jpg,Dairy,BOGO,,false
Natural Bliss Coffee Creamer,/images/natural_bliss_coffee_creamer.jpg,Dairy,BOGO,,false
Celentano Pasta,/images/celentano_pasta.jpg,Frozen Food,BOGO,,false
Sara Lee Pound Cake,/images/sara_lee_pound_cake.jpg,Frozen Food,BOGO,,false
Haagen-Dazs Ice Cream Bars,/images/haagendazs_ice_cream_bars.jpg,Frozen Food,BOGO,,false
Edy's Ice Cream,/images/edys_ice_cream.jpg,Frozen Food,BOGO,,false
Digiorno Stuffed Crust Pizza,/images/digiorno_stuffed_crust_pizza.jpg,Protein|Frozen Food,BOGO,,false
