storenumber,cutoverDay
839,wednesday
840,thursday
841,wednesday
842,wednesday
843,thursday
844,wednesday
845,wednesday
847,thursday
848,thursday
849,thursday
850,thursday
851,thursday
852,thursday
853,wednesday
854,thursday
855,thursday
856,thursday
857,thursday
859,wednesday
861,thursday
862,thursday
863,wednesday
864,thursday
865,thursday
866,thursday
867,thursday
871,thursday
872,thursday
873,thursday
874,wednesday
876,thursday
877,thursday
878,thursday
879,thursday
880,wednesday
881,thursday
882,wednesday
883,wednesday
884,thursday
885,wednesday
886,thursday
887,thursday
889,thursday
890,thursday
891,thursday
892,wednesday
893,thursday
894,thursday
895,thursday
896,wednesday
897,thursday
898,thursday
1003,thursday
1004,thursday
1005,wednesday
1006,thursday
1007,thursday
1008,wednesday
1009,thursday
1011,thursday
1012,wednesday
1013,thursday
1014,thursday
1015,thursday
1016,wednesday
1017,thursday
1018,thursday
1019,wednesday
1020,thursday
1021,wednesday
1022,thursday
1023,thursday
1024,wednesday
1025,wednesday
1026,wednesday
1027,wednesday
1028,thursday
1029,thursday
1030,thursday
1031,wednesday
1032,thursday
1033,wednesday
1034,thursday
1035,thursday
1036,thursday
1037,thursday
1038,thursday
1039,thursday
1040,thursday
1041,thursday
1042,thursday
1043,wednesday
1044,wednesday
1045,thursday
1046,thursday
1047,wednesday
1048,thursday
1049,thursday
1050,thursday
1051,thursday
1052,wednesday
1054,wednesday
1055,wednesday
1056,wednesday
1057,wednesday
1058,thursday
1059,wednesday
1060,wednesday
1061,wednesday
1062,thursday
1063,wednesday
1064,wednesday
1065,wednesday
1066,thursday
1067,thursday
1068,thursday
1069,wednesday
1070,thursday
1071,wednesday
1072,thursday
1073,wednesday
1074,wednesday
1075,wednesday
1076,thursday
1077,wednesday
1078,wednesday
1079,thursday
1080,thursday
1081,wednesday
1082,wednesday
1083,wednesday
1084,thursday
1085,wednesday
1086,wednesday
1087,wednesday
1088,thursday
1089,wednesday
1090,thursday
1091,wednesday
1092,thursday
1093,thursday
1094,thursday
1095,wednesday
1096,wednesday
1097,thursday
1098,thursday
1099,thursday
1101,thursday
1103,thursday
1104,thursday
1105,thursday
1106,thursday
1107,thursday
1108,thursday
1109,thursday
1110,wednesday
1111,thursday
1112,wednesday
1113,thursday
1114,thursday
1115,thursday
1116,wednesday
1117,thursday
1118,wednesday
1119,wednesday
1120,wednesday
1121,thursday
1122,thursday
1123,thursday
1124,thursday
1125,thursday
1126,wednesday
1127,thursday
1128,thursday
1129,thursday
1130,wednesday
1131,thursday
1132,thursday
1133,wednesday
1135,thursday
1136,thursday
1137,thursday
1138,thursday
1139,wednesday
1140,thursday
1141,wednesday
1142,thursday
1143,wednesday
1144,thursday
1145,wednesday
1146,wednesday
1147,thursday
1148,wednesday
1149,thursday
1150,thursday
1151,thursday
1152,thursday
1153,thursday
1154,wednesday
1155,thursday
1156,thursday
1158,thursday
1159,thursday
1160,thursday
1163,wednesday
1164,wednesday
1165,wednesday
1166,wednesday
1167,thursday
1168,thursday
1169,thursday
1170,thursday
1171,thursday
1172,wednesday
1173,wednesday
1174,thursday
1175,wednesday
1176,thursday
1177,thursday
1178,wednesday
1179,thursday
1180,thursday
1181,thursday
1182,thursday
1183,wednesday
1184,wednesday
1185,wednesday
1186,wednesday
1187,thursday
1188,wednesday
1189,wednesday
1191,thursday
1192,thursday
1193,thursday
1194,thursday
1195,thursday
1196,thursday
1198,thursday
1199,thursday
1200,wednesday
1201,thursday
1202,wednesday
1203,wednesday
1204,thursday
1205,wednesday
1206,wednesday
1207,wednesday
1208,thursday
1209,thursday
1210,thursday
1211,wednesday
1212,thursday
1213,wednesday
1214,thursday
1215,thursday
1216,thursday
1217,wednesday
1218,wednesday
